airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,2019-06-06,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4804
Air India,2019-03-06,Delhi,Cochin,07:05:00,09:25:00,1580,2.0,No Info,9190
Air India,2019-06-09,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No Info,3100
Jet Airways,2019-06-06,Delhi,Cochin,06:45:00,04:25:00,1300,2.0,No Info,13376
Indigo,2019-05-06,Chennai,Kolkata,05:15:00,07:40:00,145,0.0,No Info,3540
Spicejet,2019-04-01,Delhi,Cochin,06:05:00,11:20:00,315,1.0,No Info,5351
Jet Airways,2019-03-09,Delhi,Cochin,08:00:00,19:45:00,705,1.0,No Info,17549
Jet Airways,2019-06-03,Delhi,Cochin,21:25:00,12:35:00,910,2.0,In-flight meal not included,11507
Indigo,2019-04-03,Delhi,Cochin,14:20:00,17:35:00,195,0.0,No Info,4729
Multiple Carriers,2019-05-09,Delhi,Cochin,04:55:00,19:00:00,845,1.0,No Info,9103
Indigo,2019-05-18,Kolkata,Banglore,19:35:00,23:15:00,220,1.0,No Info,4226
Multiple Carriers,2019-06-12,Delhi,Cochin,11:35:00,01:30:00,835,3.0,No Info,15419
Jet Airways,2019-05-21,Delhi,Cochin,16:00:00,19:00:00,1620,1.0,No Info,16079
Jet Airways,2019-05-06,Kolkata,Banglore,09:35:00,22:05:00,750,1.0,In-flight meal not included,10703
Air India,2019-03-27,Delhi,Cochin,08:00:00,19:15:00,675,1.0,No Info,7199
Air India,2019-06-12,Kolkata,Banglore,09:10:00,04:40:00,1170,2.0,No Info,6117
Multiple Carriers,2019-06-06,Delhi,Cochin,09:15:00,19:00:00,585,1.0,No Info,11622
Jet Airways,2019-05-12,Kolkata,Banglore,17:00:00,21:05:00,1685,1.0,No Info,12121
Jet Airways,2019-06-27,Delhi,Cochin,19:15:00,12:35:00,1040,1.0,In-flight meal not included,10262
Jet Airways,2019-05-27,Delhi,Cochin,09:35:00,12:35:00,1620,2.0,In-flight meal not included,12872
Indigo,2019-06-27,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No Info,2754
Indigo,2019-06-15,Delhi,Cochin,14:20:00,22:30:00,490,1.0,No Info,6412
Jet Airways,2019-06-15,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,In-flight meal not included,10368
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,23:35:00,910,1.0,In-flight meal not included,7064
Jet Airways,2019-06-03,Delhi,Cochin,18:15:00,12:35:00,1100,1.0,In-flight meal not included,10262
Goair,2019-03-03,Banglore,New Delhi,15:45:00,20:15:00,270,1.0,No Info,8352
Indigo,2019-03-09,Banglore,New Delhi,22:20:00,01:10:00,170,0.0,No Info,4377
Multiple Carriers,2019-05-27,Delhi,Cochin,08:00:00,21:00:00,780,1.0,In-flight meal not included,9450
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,In-flight meal not included,13469
Jet Airways,2019-05-18,Kolkata,Banglore,14:05:00,08:15:00,1090,1.0,No Info,14388
Air Asia,2019-04-03,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,4107
Air India,2019-04-01,Kolkata,Banglore,07:00:00,05:25:00,1345,2.0,No Info,12849
Jet Airways,2019-05-21,Delhi,Cochin,19:45:00,19:00:00,1395,1.0,In-flight meal not included,12898
Multiple Carriers,2019-06-03,Delhi,Cochin,06:00:00,19:15:00,795,1.0,No Info,9736
Indigo,2019-06-24,Kolkata,Banglore,11:30:00,14:05:00,155,0.0,No Info,4804
Vistara,2019-04-01,Kolkata,Banglore,07:10:00,20:20:00,790,1.0,No Info,8452
Indigo,2019-05-18,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Jet Airways,2019-05-24,Kolkata,Banglore,17:00:00,14:25:00,1285,1.0,No Info,12121
Spicejet,2019-05-21,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,4174
Jet Airways,2019-03-27,Delhi,Cochin,02:15:00,18:50:00,995,1.0,No Info,12242
Jet Airways,2019-05-27,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,3359
Jet Airways,2019-03-06,Delhi,Cochin,19:10:00,04:25:00,1995,2.0,No Info,16809
Air India,2019-03-03,Delhi,Cochin,21:30:00,19:15:00,1305,2.0,No Info,12287
Jet Airways,2019-06-06,Kolkata,Banglore,06:30:00,12:00:00,330,1.0,In-flight meal not included,10844
Multiple Carriers,2019-06-09,Delhi,Cochin,10:00:00,01:30:00,930,1.0,No Info,7198
Jet Airways,2019-06-01,Delhi,Cochin,09:35:00,04:25:00,1130,2.0,No Info,13292
Indigo,2019-06-03,Delhi,Cochin,23:30:00,04:35:00,305,1.0,No Info,11378
Multiple Carriers,2019-03-06,Delhi,Cochin,07:05:00,21:20:00,855,2.0,No Info,7084
Spicejet,2019-04-12,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,3873
Spicejet,2019-04-09,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Air India,2019-04-01,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No Info,4441
Indigo,2019-05-01,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No Info,4804
Spicejet,2019-06-06,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No Info,3625
Multiple Carriers,2019-03-06,Delhi,Cochin,11:30:00,18:50:00,440,1.0,No Info,15135
Multiple Carriers,2019-06-09,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No Info,7198
Goair,2019-04-09,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No Info,4239
Air Asia,2019-05-18,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No Info,4483
Jet Airways,2019-05-09,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,In-flight meal not included,9663
Vistara,2019-05-06,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,3687
Jet Airways,2019-06-01,Delhi,Cochin,07:05:00,19:00:00,715,1.0,In-flight meal not included,15190
Jet Airways,2019-04-09,Banglore,Delhi,18:55:00,22:00:00,185,0.0,No Info,7229
Air India,2019-05-24,Kolkata,Banglore,09:10:00,04:40:00,1170,2.0,No Info,6117
Air India,2019-03-12,Mumbai,Hyderabad,01:35:00,14:50:00,795,2.0,No Info,9977
Jet Airways,2019-05-12,Kolkata,Banglore,14:05:00,20:45:00,400,1.0,In-flight meal not included,10844
Jet Airways,2019-05-18,Delhi,Cochin,21:50:00,04:25:00,395,1.0,No Info,15554
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,10:05:00,910,1.0,In-flight meal not included,9663
Multiple Carriers,2019-05-21,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No Info,10197
Multiple Carriers,2019-03-21,Delhi,Cochin,18:15:00,01:35:00,440,1.0,No Info,13542
Indigo,2019-05-15,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,7191
Jet Airways,2019-06-15,Delhi,Cochin,08:00:00,19:00:00,660,1.0,In-flight meal not included,10262
Goair,2019-04-24,Delhi,Cochin,07:00:00,12:55:00,355,1.0,No Info,6195
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,23:35:00,1655,1.0,In-flight meal not included,10844
Spicejet,2019-05-18,Kolkata,Banglore,11:15:00,18:30:00,435,1.0,No Info,10944
Multiple Carriers,2019-06-03,Delhi,Cochin,11:40:00,19:15:00,455,1.0,No Info,9001
Indigo,2019-03-09,Banglore,New Delhi,22:20:00,01:10:00,170,0.0,No Info,6144
Jet Airways,2019-04-09,Delhi,Cochin,13:25:00,12:35:00,1390,2.0,No Info,9483
Air India,2019-04-01,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No Info,2050
Spicejet,2019-06-21,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No check-in baggage included,3543
Indigo,2019-03-18,Banglore,New Delhi,16:15:00,20:35:00,260,1.0,No Info,4437
Air India,2019-04-01,Kolkata,Banglore,16:50:00,18:30:00,1540,1.0,No Info,7893
Spicejet,2019-05-06,Kolkata,Banglore,11:15:00,18:30:00,435,1.0,No Info,9736
Multiple Carriers,2019-03-06,Delhi,Cochin,09:00:00,15:30:00,390,1.0,In-flight meal not included,15136
Air India,2019-04-18,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No Info,8246
Indigo,2019-06-01,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Multiple Carriers,2019-06-12,Delhi,Cochin,07:00:00,19:00:00,720,1.0,No Info,12192
Air India,2019-06-09,Delhi,Cochin,12:55:00,19:15:00,1820,2.0,No Info,12436
Jet Airways,2019-03-24,Kolkata,Banglore,18:55:00,16:20:00,1285,1.0,No Info,14231
Jet Airways,2019-06-01,Delhi,Cochin,02:15:00,12:35:00,620,1.0,No Info,14714
Air India,2019-06-27,Delhi,Cochin,18:45:00,19:15:00,1470,2.0,No Info,11942
Multiple Carriers,2019-03-21,Delhi,Cochin,08:00:00,19:15:00,675,1.0,No Info,13378
Vistara,2019-04-01,Kolkata,Banglore,20:20:00,10:45:00,865,1.0,No Info,8505
Multiple Carriers,2019-05-27,Delhi,Cochin,07:30:00,19:00:00,690,1.0,No Info,11264
Air India,2019-05-21,Kolkata,Banglore,12:00:00,11:10:00,1390,2.0,No Info,10676
Indigo,2019-05-15,Delhi,Cochin,02:00:00,07:25:00,325,1.0,No Info,8618
Indigo,2019-04-03,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,4174
Jet Airways,2019-06-24,Delhi,Cochin,15:00:00,12:35:00,1295,1.0,In-flight meal not included,10262
Indigo,2019-03-21,Delhi,Cochin,02:35:00,08:30:00,355,1.0,No Info,8470
Indigo,2019-03-12,Kolkata,Banglore,20:25:00,23:05:00,160,0.0,No Info,4148
Air Asia,2019-06-12,Delhi,Cochin,07:55:00,15:45:00,470,1.0,No Info,6152
Jet Airways,2019-03-15,Banglore,New Delhi,05:45:00,16:10:00,625,1.0,In-flight meal not included,9134
Jet Airways,2019-06-01,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,In-flight meal not included,10262
Air India,2019-04-01,Kolkata,Banglore,20:30:00,08:55:00,745,1.0,No Info,7893
Vistara,2019-03-24,Kolkata,Banglore,07:10:00,18:45:00,695,1.0,No Info,16932
Jet Airways,2019-05-18,Kolkata,Banglore,14:05:00,22:35:00,510,1.0,No Info,14781
Spicejet,2019-05-09,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No Info,4423
Jet Airways,2019-06-09,Kolkata,Banglore,20:00:00,12:00:00,960,1.0,No Info,14571
Indigo,2019-03-21,Delhi,Cochin,04:45:00,13:20:00,515,1.0,No Info,7738
Air India,2019-04-18,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No Info,5228
Indigo,2019-04-01,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4174
Indigo,2019-03-27,Delhi,Cochin,08:35:00,21:20:00,765,2.0,No Info,6494
Vistara,2019-03-03,Banglore,New Delhi,16:00:00,18:35:00,155,0.0,No Info,13383
Vistara,2019-06-27,Banglore,Delhi,19:30:00,22:15:00,165,0.0,No Info,5088
Jet Airways,2019-06-24,Delhi,Cochin,18:20:00,04:25:00,605,2.0,No Info,13775
Air India,2019-04-03,Delhi,Cochin,14:10:00,17:10:00,180,0.0,No Info,4729
Spicejet,2019-06-27,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No check-in baggage included,3573
Indigo,2019-06-18,Mumbai,Hyderabad,09:15:00,10:45:00,90,0.0,No Info,4049
Jet Airways,2019-06-09,Delhi,Cochin,05:30:00,12:35:00,425,2.0,No Info,14441
Jet Airways,2019-03-21,Mumbai,Hyderabad,07:10:00,08:35:00,85,0.0,In-flight meal not included,4160
Jet Airways,2019-05-27,Delhi,Cochin,20:55:00,04:25:00,450,1.0,No Info,16079
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,12:00:00,960,1.0,No Info,14571
Vistara,2019-04-18,Delhi,Cochin,06:00:00,09:10:00,190,0.0,No Info,6741
Jet Airways,2019-06-27,Delhi,Cochin,11:40:00,19:00:00,440,2.0,No Info,18804
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,No Info,14781
Jet Airways,2019-06-24,Delhi,Cochin,09:25:00,04:25:00,1140,2.0,No Info,13882
Air Asia,2019-04-21,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No Info,4409
Air India,2019-05-09,Delhi,Cochin,05:55:00,19:15:00,800,2.0,No Info,10861
Jet Airways,2019-03-15,Mumbai,Hyderabad,15:50:00,17:20:00,90,0.0,In-flight meal not included,2470
Indigo,2019-04-09,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,4423
Air India,2019-05-09,Kolkata,Banglore,16:50:00,05:35:00,765,2.0,No Info,11432
Jet Airways,2019-05-21,Delhi,Cochin,02:15:00,19:00:00,1005,1.0,In-flight meal not included,12898
Indigo,2019-05-12,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,4804
Jet Airways,2019-06-03,Delhi,Cochin,16:00:00,12:35:00,1235,1.0,In-flight meal not included,10262
Indigo,2019-03-06,Delhi,Cochin,11:55:00,22:20:00,625,1.0,No Info,6442
Spicejet,2019-04-15,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Air India,2019-03-27,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,4729
Spicejet,2019-06-06,Kolkata,Banglore,15:05:00,20:20:00,315,1.0,No Info,4649
Jet Airways,2019-05-15,Kolkata,Banglore,20:25:00,19:10:00,1365,1.0,No Info,14151
Spicejet,2019-06-03,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No Info,2753
Jet Airways,2019-06-24,Delhi,Cochin,05:30:00,12:35:00,425,2.0,In-flight meal not included,13344
Spicejet,2019-04-09,Kolkata,Banglore,15:05:00,20:20:00,315,1.0,No Info,4649
Spicejet,2019-05-12,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,2175
Multiple Carriers,2019-06-24,Delhi,Cochin,06:00:00,19:00:00,780,1.0,No Info,12524
Air India,2019-03-03,Delhi,Cochin,07:05:00,19:15:00,2170,2.0,No Info,11762
Indigo,2019-04-03,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,4823
Jet Airways,2019-06-09,Delhi,Cochin,08:00:00,19:00:00,660,1.0,In-flight meal not included,10262
Spicejet,2019-03-24,Kolkata,Banglore,11:35:00,18:50:00,435,1.0,No Info,9923
Vistara,2019-05-12,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No Info,4668
Air India,2019-06-03,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,5201
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,In-flight meal not included,8586
Jet Airways,2019-03-01,Banglore,New Delhi,11:40:00,00:45:00,785,1.0,No Info,26890
Jet Airways,2019-06-03,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,In-flight meal not included,4995
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,20:45:00,1550,1.0,In-flight meal not included,7064
Indigo,2019-03-21,Kolkata,Banglore,15:10:00,17:45:00,155,0.0,No Info,4148
Indigo,2019-06-06,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No Info,3597
Air India,2019-05-21,Delhi,Cochin,10:00:00,19:15:00,555,1.0,No Info,8372
Air India,2019-06-12,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No Info,8372
Vistara,2019-03-03,Banglore,New Delhi,06:40:00,12:35:00,355,1.0,No Info,12476
Jet Airways,2019-05-18,Delhi,Cochin,08:00:00,19:00:00,660,1.0,In-flight meal not included,12373
Jet Airways,2019-04-24,Banglore,Delhi,18:55:00,22:00:00,185,0.0,No Info,7229
Jet Airways,2019-04-09,Banglore,Delhi,11:10:00,14:05:00,175,0.0,No Info,7229
Spicejet,2019-04-15,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No Info,4423
Vistara,2019-03-06,Mumbai,Hyderabad,08:45:00,19:55:00,670,1.0,No Info,12395
Jet Airways,2019-05-12,Kolkata,Banglore,20:25:00,14:25:00,1080,1.0,No Info,13067
Multiple Carriers,2019-03-21,Delhi,Cochin,07:05:00,13:20:00,375,1.0,No Info,14486
Spicejet,2019-06-18,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No check-in baggage included,3573
Air Asia,2019-04-18,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No Info,4282
Jet Airways,2019-05-15,Kolkata,Banglore,08:25:00,23:35:00,910,1.0,No Info,13941
Jet Airways,2019-04-01,Kolkata,Banglore,14:05:00,22:35:00,510,1.0,No Info,13364
Air India,2019-04-01,Kolkata,Banglore,12:00:00,18:30:00,1830,2.0,No Info,9258
Indigo,2019-05-09,Delhi,Cochin,15:00:00,01:30:00,630,1.0,No Info,8330
Multiple Carriers,2019-03-03,Delhi,Cochin,15:05:00,01:35:00,630,2.0,No Info,34503
Spicejet,2019-03-01,Kolkata,Banglore,09:00:00,11:30:00,150,0.0,No Info,5515
Jet Airways,2019-05-15,Kolkata,Banglore,09:35:00,14:25:00,1730,1.0,No Info,11467
Multiple Carriers,2019-03-21,Delhi,Cochin,07:00:00,13:20:00,380,1.0,No Info,9042
Indigo,2019-06-27,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No Info,4804
Jet Airways,2019-05-01,Kolkata,Banglore,20:00:00,10:05:00,845,1.0,No Info,13941
Jet Airways,2019-06-09,Delhi,Cochin,19:15:00,04:25:00,550,1.0,In-flight meal not included,10577
Jet Airways,2019-06-03,Delhi,Cochin,05:30:00,12:35:00,425,2.0,No Info,14441
Indigo,2019-05-27,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,3943
Air India,2019-05-24,Kolkata,Banglore,09:10:00,13:15:00,245,1.0,No Info,8996
Indigo,2019-03-27,Mumbai,Hyderabad,20:05:00,21:35:00,90,0.0,No Info,2227
Jet Airways,2019-04-01,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,4544
Jet Airways,2019-03-21,Banglore,New Delhi,05:45:00,00:45:00,1140,1.0,In-flight meal not included,7832
Air India,2019-06-24,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No Info,3100
Jet Airways,2019-06-09,Delhi,Cochin,07:05:00,19:00:00,715,1.0,No Info,14714
Multiple Carriers,2019-03-09,Delhi,Cochin,08:40:00,19:45:00,665,1.0,No Info,18492
Multiple Carriers,2019-06-15,Delhi,Cochin,07:05:00,22:30:00,925,1.0,No Info,9646
Air India,2019-06-27,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,5201
Jet Airways,2019-06-27,Delhi,Cochin,09:35:00,12:35:00,1620,2.0,No Info,13292
Jet Airways,2019-05-09,Delhi,Cochin,22:50:00,19:00:00,1210,1.0,In-flight meal not included,12373
Multiple Carriers,2019-03-03,Delhi,Cochin,07:00:00,13:20:00,380,1.0,No Info,15603
Goair,2019-05-03,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No Info,4239
Multiple Carriers,2019-06-24,Delhi,Cochin,10:00:00,21:00:00,660,1.0,No Info,13587
Multiple Carriers,2019-05-27,Delhi,Cochin,11:40:00,19:00:00,440,1.0,No Info,9794
Jet Airways,2019-06-09,Delhi,Cochin,21:50:00,04:25:00,395,1.0,In-flight meal not included,10262
Indigo,2019-04-01,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,3943
Goair,2019-06-21,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No Info,3898
Spicejet,2019-03-09,Banglore,New Delhi,05:45:00,08:35:00,170,0.0,No Info,5126
Air India,2019-06-24,Delhi,Cochin,13:15:00,07:40:00,1105,2.0,No Info,12497
Spicejet,2019-03-24,Banglore,New Delhi,09:35:00,12:30:00,175,0.0,No check-in baggage included,3873
Jet Airways,2019-04-15,Banglore,Delhi,19:50:00,22:50:00,180,0.0,No Info,7229
Indigo,2019-06-06,Kolkata,Banglore,19:35:00,23:15:00,220,1.0,No Info,6116
Spicejet,2019-03-09,Banglore,New Delhi,05:45:00,08:35:00,170,0.0,No Info,7110
Air India,2019-06-27,Delhi,Cochin,07:00:00,19:15:00,735,1.0,No Info,8669
Multiple Carriers,2019-03-06,Delhi,Cochin,07:05:00,22:20:00,915,1.0,No Info,6916
Jet Airways,2019-06-06,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,In-flight meal not included,9689
Spicejet,2019-05-01,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Spicejet,2019-06-12,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,3873
Jet Airways,2019-06-06,Kolkata,Banglore,06:30:00,23:35:00,1025,1.0,No Info,14571
Jet Airways,2019-05-18,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,In-flight meal not included,12373
Spicejet,2019-06-03,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No Info,2017
Jet Airways,2019-06-09,Delhi,Cochin,16:00:00,19:00:00,1620,1.0,In-flight meal not included,10577
Indigo,2019-04-03,Banglore,Delhi,13:00:00,15:50:00,170,0.0,No Info,4077
Indigo,2019-06-01,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No Info,3419
Jet Airways,2019-03-09,Banglore,New Delhi,08:00:00,21:20:00,800,1.0,In-flight meal not included,11087
Indigo,2019-06-27,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4804
Jet Airways,2019-05-01,Kolkata,Banglore,08:25:00,12:00:00,1655,1.0,In-flight meal not included,9663
Jet Airways,2019-05-21,Kolkata,Banglore,09:35:00,23:35:00,840,1.0,No Info,14151
Vistara,2019-04-24,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No Info,5403
Indigo,2019-06-06,Kolkata,Banglore,08:10:00,13:00:00,290,1.0,No Info,5069
Multiple Carriers,2019-06-06,Delhi,Cochin,11:25:00,19:00:00,455,1.0,No Info,10877
Spicejet,2019-03-06,Mumbai,Hyderabad,05:45:00,07:05:00,80,0.0,No Info,4129
Air India,2019-05-21,Kolkata,Banglore,09:25:00,18:30:00,545,1.0,No Info,8366
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,20:20:00,1525,1.0,In-flight meal not included,11087
Indigo,2019-05-27,Mumbai,Hyderabad,21:20:00,22:50:00,90,0.0,No Info,2227
Indigo,2019-06-03,Kolkata,Banglore,15:30:00,18:05:00,155,0.0,No Info,4804
Jet Airways,2019-05-24,Kolkata,Banglore,18:55:00,23:35:00,1720,1.0,In-flight meal not included,10844
Air India,2019-04-01,Kolkata,Banglore,17:30:00,08:55:00,925,1.0,No Info,7893
Indigo,2019-03-24,Banglore,New Delhi,22:20:00,01:10:00,170,0.0,No Info,4377
Jet Airways,2019-06-09,Kolkata,Banglore,18:55:00,19:50:00,1495,1.0,In-flight meal not included,10844
Multiple Carriers,2019-06-03,Delhi,Cochin,12:50:00,21:00:00,490,1.0,No Info,7740
Spicejet,2019-05-21,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Jet Airways,2019-03-09,Mumbai,Hyderabad,19:40:00,21:10:00,90,0.0,In-flight meal not included,4050
Jet Airways,2019-06-06,Delhi,Cochin,20:55:00,04:25:00,450,1.0,In-flight meal not included,10262
Goair,2019-03-06,Delhi,Cochin,06:00:00,13:20:00,440,1.0,No Info,6393
Indigo,2019-04-27,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No Info,4823
Air Asia,2019-05-15,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No Info,3383
Jet Airways,2019-05-09,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,In-flight meal not included,10844
Jet Airways,2019-06-09,Delhi,Cochin,18:15:00,12:35:00,1100,1.0,In-flight meal not included,10577
Indigo,2019-06-03,Banglore,Delhi,04:00:00,06:50:00,170,0.0,No Info,3943
Air India,2019-03-21,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No Info,3100
Indigo,2019-03-09,Banglore,New Delhi,20:00:00,22:55:00,175,0.0,No Info,6144
Indigo,2019-03-24,Banglore,New Delhi,04:00:00,06:50:00,170,0.0,No Info,5694
Air India,2019-05-18,Delhi,Cochin,14:10:00,17:10:00,180,0.0,No Info,6934
Multiple Carriers,2019-05-15,Delhi,Cochin,07:10:00,16:10:00,540,1.0,No Info,6513
Spicejet,2019-06-21,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No check-in baggage included,3841
Air India,2019-05-27,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No Info,10467
Jet Airways,2019-05-09,Delhi,Cochin,23:05:00,04:25:00,1760,2.0,No Info,15129
Goair,2019-03-24,Banglore,New Delhi,11:40:00,14:35:00,175,0.0,No Info,4340
Multiple Carriers,2019-06-12,Delhi,Cochin,07:30:00,19:00:00,690,1.0,No Info,10877
Jet Airways,2019-06-06,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,No Info,14571
Jet Airways,2019-06-06,Delhi,Cochin,17:30:00,19:00:00,1530,1.0,No Info,14714
Jet Airways,2019-03-15,Banglore,New Delhi,05:50:00,12:20:00,390,1.0,In-flight meal not included,5853
Indigo,2019-04-06,Banglore,Delhi,18:25:00,21:20:00,175,0.0,No Info,4823
Multiple Carriers,2019-05-15,Delhi,Cochin,06:00:00,19:00:00,780,1.0,No Info,9794
Spicejet,2019-06-18,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No check-in baggage included,1965
Vistara,2019-06-24,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,11982
Multiple Carriers,2019-06-24,Delhi,Cochin,11:40:00,01:30:00,830,1.0,In-flight meal not included,5797
Air India,2019-06-12,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,4145
Air India,2019-03-24,Kolkata,Banglore,16:45:00,23:15:00,1830,2.0,No Info,13885
Multiple Carriers,2019-06-15,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No Info,7198
Indigo,2019-06-27,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No Info,3419
Indigo,2019-05-03,Kolkata,Banglore,15:30:00,18:05:00,155,0.0,No Info,4804
Jet Airways,2019-06-06,Delhi,Cochin,21:50:00,04:25:00,395,1.0,In-flight meal not included,10262
Spicejet,2019-04-03,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No Info,2017
Jet Airways,2019-05-21,Delhi,Cochin,19:10:00,19:00:00,1430,2.0,No Info,15129
Air Asia,2019-06-09,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No Info,7120
Goair,2019-04-12,Banglore,Delhi,11:40:00,14:30:00,170,0.0,No Info,4937
Indigo,2019-03-18,Kolkata,Banglore,05:30:00,08:20:00,170,0.0,No Info,4462
Jet Airways,2019-03-21,Banglore,New Delhi,18:40:00,07:40:00,780,1.0,In-flight meal not included,7832
Jet Airways,2019-06-12,Kolkata,Banglore,06:30:00,16:20:00,590,1.0,No Info,13626
Jet Airways,2019-03-18,Banglore,New Delhi,05:45:00,18:25:00,760,1.0,No Info,12284
Air India,2019-06-06,Kolkata,Banglore,05:50:00,23:15:00,1045,2.0,No Info,12723
Air India,2019-06-24,Banglore,Delhi,06:10:00,08:55:00,165,0.0,No Info,6961
Jet Airways,2019-06-03,Delhi,Cochin,20:00:00,04:25:00,505,2.0,In-flight meal not included,15318
Air India,2019-05-09,Kolkata,Banglore,16:50:00,07:55:00,905,1.0,No Info,8366
Jet Airways,2019-05-15,Kolkata,Banglore,20:25:00,14:25:00,1080,1.0,No Info,11467
Indigo,2019-05-15,Delhi,Cochin,18:35:00,01:30:00,415,1.0,No Info,7191
